Time,Brooklyn Injured,Brooklyn Killed,Queens Injured,Queens Killed,Manhattan Injured,Manhattan Killed,Bronx Injured,Bronx Killed,Staten Island Injured,Staten Island Killed
0:00 - 2:59,854,5,605,5,412,1,410,1,63,0
3:00 - 5:59,464,6,400,5,264,4,215,2,33,0
6:00 - 8:59,1149,5,1144,5,412,2,641,3,140,0
9:00- 11:59,1423,4,1209,4,609,3,722,1,168,0
12:00 - 14:59,1893,3,1611,5,757,2,972,0,236,3
15:00 - 17:59,2443,13,2039,3,900,2,1224,2,292,1
18:00 - 20:59,2057,7,1779,4,796,1,1003,1,211,0
21:00 - 23:59,1469,6,1169,4,598,4,686,0,128,0
