year,borough,hour,injured,killed
2013,Brooklyn,20,1616,8
2013,Brooklyn,21,1342,6
2013,Brooklyn,22,1270,8
2013,Brooklyn,23,940,4
2013,Manhattan,0,432,2
2013,Manhattan,1,408,6
2013,Manhattan,2,358,6
2013,Manhattan,3,300,2
2013,Manhattan,4,350,4
2013,Manhattan,5,276,2
2013,Manhattan,6,366,4
2013,Manhattan,7,396,2
2013,Manhattan,8,572,2
2013,Manhattan,9,678,0
2013,Manhattan,10,696,6
2013,Manhattan,11,730,0
2013,Manhattan,12,772,4
2013,Manhattan,13,828,0
2013,Manhattan,14,846,6
2013,Manhattan,15,854,4
2013,Manhattan,16,1022,4
2013,Manhattan,17,926,12
2013,Manhattan,18,950,2
2013,Manhattan,19,820,4
2013,Manhattan,20,814,4
2013,Manhattan,21,696,0
2013,Manhattan,22,510,2
2013,Manhattan,23,570,0
2013,Queens,0,518,4
2013,Queens,1,298,6
2013,Queens,2,246,0
2013,Queens,3,212,10
2013,Queens,4,346,2
2013,Queens,5,360,8
2013,Queens,6,462,8
2013,Queens,7,724,6
2013,Queens,8,1300,0
2013,Queens,9,974,0
2013,Queens,10,900,2
2013,Queens,11,916,10
2013,Queens,12,1012,6
2013,Queens,13,934,4
2013,Queens,14,1350,4
2013,Queens,15,1322,4
2013,Queens,16,1606,8
2013,Queens,17,1560,6
2013,Queens,18,1612,12
2013,Queens,19,1282,18
2013,Queens,20,1140,8
2013,Queens,21,826,4
2013,Queens,22,858,6
2013,Queens,23,616,6
2013,Staten Island,0,78,0
2013,Staten Island,1,44,0
2013,Staten Island,2,38,0
2013,Staten Island,3,72,0
2013,Staten Island,4,42,0
2013,Staten Island,5,52,2
2013,Staten Island,6,72,0
2013,Staten Island,7,178,0
2013,Staten Island,8,238,0
2013,Staten Island,9,142,0
2013,Staten Island,10,164,0
2013,Staten Island,11,194,0
2013,Staten Island,12,242,0
2013,Staten Island,13,216,0
2013,Staten Island,14,278,0
2013,Staten Island,15,246,0
2013,Staten Island,16,390,0
2013,Staten Island,17,324,2
2013,Staten Island,18,274,0
2013,Staten Island,19,270,2
2013,Staten Island,20,252,2
2013,Staten Island,21,152,0
2013,Staten Island,22,158,0
2013,Staten Island,23,106,0
2013,Unspecified,0,708,6
2013,Unspecified,1,668,12
2013,Unspecified,2,528,4
2013,Unspecified,3,514,12
2013,Unspecified,4,622,20
2013,Unspecified,5,638,8
2013,Unspecified,6,810,8
2013,Unspecified,7,792,6
2013,Unspecified,8,1284,2
2013,Unspecified,9,1010,8
2013,Unspecified,10,994,10
2013,Unspecified,11,1210,2
2013,Unspecified,12,1288,2
2013,Unspecified,13,1230,0
2013,Unspecified,14,1590,2
2013,Unspecified,15,1562,4
2013,Unspecified,16,1712,8
2013,Unspecified,17,1844,8
2013,Unspecified,18,1602,8
2013,Unspecified,19,1318,4
2013,Unspecified,20,1262,10
2013,Unspecified,21,970,8
2013,Unspecified,22,982,6
2013,Unspecified,23,1006,10
2014,Bronx,0,222,0
2014,Bronx,1,184,2
2014,Bronx,2,120,2
2014,Bronx,3,98,0
2014,Bronx,4,204,0
2014,Bronx,5,186,0
2014,Bronx,6,252,2
2014,Bronx,7,304,4
2014,Bronx,8,774,2
2014,Bronx,9,548,2
2014,Bronx,10,434,0
2014,Bronx,11,460,0
2014,Bronx,12,530,0
2014,Bronx,13,580,0
2014,Bronx,14,722,2
2014,Bronx,15,636,6
2014,Bronx,16,904,0
2014,Bronx,17,904,8
2014,Bronx,18,814,0
2014,Bronx,19,776,2
2014,Bronx,20,694,2
2014,Bronx,21,498,2
2014,Bronx,22,500,0
2014,Bronx,23,428,2
2014,Brooklyn,0,648,2
2014,Brooklyn,1,490,2
2014,Brooklyn,2,414,4
2014,Brooklyn,3,342,2
2014,Brooklyn,4,464,6
2014,Brooklyn,5,378,4
2014,Brooklyn,6,531,10
2014,Brooklyn,7,898,6
2014,Brooklyn,8,1494,8
2014,Brooklyn,9,1360,6
2014,Brooklyn,10,1072,6
2014,Brooklyn,11,1116,8
2014,Brooklyn,12,1368,4
2014,Brooklyn,13,1460,12
2014,Brooklyn,14,1772,10
2014,Brooklyn,15,1814,8
2014,Brooklyn,16,1868,6
2014,Brooklyn,17,2112,6
2014,Brooklyn,18,2088,12
2014,Brooklyn,19,1634,2
2014,Brooklyn,20,1636,8
2014,Brooklyn,21,1340,2
2014,Brooklyn,22,1184,0
2014,Brooklyn,23,1006,0
2014,Manhattan,0,520,0
2014,Manhattan,1,320,2
2014,Manhattan,2,314,2
2014,Manhattan,3,248,2
2014,Manhattan,4,252,4
2014,Manhattan,5,256,4
2014,Manhattan,6,328,2
2014,Manhattan,7,290,0
2014,Manhattan,8,598,2
2014,Manhattan,9,612,6
2014,Manhattan,10,558,0
2014,Manhattan,11,644,4
2014,Manhattan,12,678,2
2014,Manhattan,13,786,4
2014,Manhattan,14,752,6
2014,Manhattan,15,754,4
2014,Manhattan,16,896,6
2014,Manhattan,17,836,2
2014,Manhattan,18,752,6
2014,Manhattan,19,844,2
2014,Manhattan,20,796,4
2014,Manhattan,21,652,4
2014,Manhattan,22,618,0
2014,Manhattan,23,514,2
2014,Queens,0,378,0
2014,Queens,1,330,0
2014,Queens,2,264,2
2014,Queens,3,266,0
2014,Queens,4,324,6
2014,Queens,5,294,6
2014,Queens,6,462,0
2014,Queens,7,576,0
2014,Queens,8,1414,4
2014,Queens,9,858,12
2014,Queens,10,684,0
2014,Queens,11,916,0
2014,Queens,12,916,8
2014,Queens,13,1006,0
2014,Queens,14,1172,4
2014,Queens,15,1262,4
2014,Queens,16,1434,10
2014,Queens,17,1460,8
2014,Queens,18,1438,6
2014,Queens,19,1240,2
2014,Queens,20,1084,6
2014,Queens,21,861,4
2014,Queens,22,776,22
2014,Queens,23,644,0
2014,Staten Island,0,70,0
2014,Staten Island,1,54,0
2014,Staten Island,2,38,0
2014,Staten Island,3,28,0
2014,Staten Island,4,16,0
2014,Staten Island,5,48,2
2014,Staten Island,6,64,0
2014,Staten Island,7,110,2
2014,Staten Island,8,178,0
2014,Staten Island,9,120,0
2014,Staten Island,10,104,0
2014,Staten Island,11,142,0
2014,Staten Island,12,168,0
2014,Staten Island,13,180,2
2014,Staten Island,14,268,2
2014,Staten Island,15,246,0
2014,Staten Island,16,276,0
2014,Staten Island,17,208,0
2014,Staten Island,18,218,4
2014,Staten Island,19,176,4
2014,Staten Island,20,132,0
2014,Staten Island,21,140,2
2014,Staten Island,22,92,0
2014,Staten Island,23,78,2
2014,Unspecified,0,696,18
2014,Unspecified,1,678,6
2014,Unspecified,2,473,16
2014,Unspecified,3,452,8
2014,Unspecified,4,564,12
