year,borough,hour,injured,killed
2018,Manhattan,19,569,2
2018,Manhattan,20,558,4
2018,Manhattan,21,540,4
2018,Manhattan,22,470,4
2018,Manhattan,23,385,0
2018,Queens,0,710,6
2018,Queens,1,298,2
2018,Queens,2,222,0
2018,Queens,3,256,4
2018,Queens,4,307,2
2018,Queens,5,288,4
2018,Queens,6,501,4
2018,Queens,7,678,4
2018,Queens,8,1240,6
2018,Queens,9,981,0
2018,Queens,10,798,4
2018,Queens,11,950,6
2018,Queens,12,996,2
2018,Queens,13,1058,6
2018,Queens,14,1445,8
2018,Queens,15,1456,6
2018,Queens,16,1582,8
2018,Queens,17,1580,2
2018,Queens,18,1574,8
2018,Queens,19,1231,2
2018,Queens,20,1003,4
2018,Queens,21,972,4
2018,Queens,22,815,10
2018,Queens,23,701,4
2018,Staten Island,0,74,0
2018,Staten Island,1,28,0
2018,Staten Island,2,12,0
2018,Staten Island,3,20,2
2018,Staten Island,4,24,0
2018,Staten Island,5,26,0
2018,Staten Island,6,54,0
2018,Staten Island,7,74,0
2018,Staten Island,8,136,0
2018,Staten Island,9,96,0
2018,Staten Island,10,132,0
2018,Staten Island,11,102,0
2018,Staten Island,12,196,2
2018,Staten Island,13,140,0
2018,Staten Island,14,232,0
2018,Staten Island,15,166,0
2018,Staten Island,16,208,2
2018,Staten Island,17,202,4
2018,Staten Island,18,198,2
2018,Staten Island,19,174,0
2018,Staten Island,20,124,0
2018,Staten Island,21,112,2
2018,Staten Island,22,86,0
2018,Staten Island,23,64,0
2018,Unspecified,0,2158,12
2018,Unspecified,1,959,10
2018,Unspecified,2,767,4
2018,Unspecified,3,831,16
2018,Unspecified,4,984,22
2018,Unspecified,5,945,4
2018,Unspecified,6,1378,8
2018,Unspecified,7,1735,2
2018,Unspecified,8,2165,0
2018,Unspecified,9,2140,8
2018,Unspecified,10,1853,6
2018,Unspecified,11,2048,0
2018,Unspecified,12,2233,4
2018,Unspecified,13,2365,2
2018,Unspecified,14,2921,10
2018,Unspecified,15,3206,4
2018,Unspecified,16,3308,14
2018,Unspecified,17,3543,6
2018,Unspecified,18,2899,4
2018,Unspecified,19,2774,6
2018,Unspecified,20,2330,10
2018,Unspecified,21,2120,10
2018,Unspecified,22,2127,11
2018,Unspecified,23,1918,6
2019,Bronx,0,494,2
2019,Bronx,1,186,0
2019,Bronx,2,140,0
2019,Bronx,3,132,0
2019,Bronx,4,132,4
2019,Bronx,5,166,0
2019,Bronx,6,186,4
2019,Bronx,7,442,2
2019,Bronx,8,654,0
2019,Bronx,9,398,2
2019,Bronx,10,468,0
2019,Bronx,11,578,0
2019,Bronx,12,552,0
2019,Bronx,13,576,0
2019,Bronx,14,816,0
2019,Bronx,15,808,2
2019,Bronx,16,862,0
2019,Bronx,17,778,2
2019,Bronx,18,824,2
2019,Bronx,19,622,0
2019,Bronx,20,560,0
2019,Bronx,21,558,0
2019,Bronx,22,438,0
2019,Bronx,23,376,0
2019,Brooklyn,0,956,10
2019,Brooklyn,1,396,0
2019,Brooklyn,2,356,0
2019,Brooklyn,3,348,4
2019,Brooklyn,4,310,0
2019,Brooklyn,5,270,8
2019,Brooklyn,6,520,6
2019,Brooklyn,7,656,0
2019,Brooklyn,8,1122,4
2019,Brooklyn,9,916,4
2019,Brooklyn,10,926,4
2019,Brooklyn,11,1004,0
2019,Brooklyn,12,1052,6
2019,Brooklyn,13,1230,0
2019,Brooklyn,14,1504,0
2019,Brooklyn,15,1610,6
2019,Brooklyn,16,1608,10
2019,Brooklyn,17,1668,10
2019,Brooklyn,18,1600,6
2019,Brooklyn,19,1330,2
2019,Brooklyn,20,1184,6
2019,Brooklyn,21,1234,6
2019,Brooklyn,22,932,0
2019,Brooklyn,23,772,6
2019,Manhattan,0,436,0
2019,Manhattan,1,216,2
2019,Manhattan,2,172,0
2019,Manhattan,3,202,0
2019,Manhattan,4,162,4
2019,Manhattan,5,164,4
2019,Manhattan,6,230,2
2019,Manhattan,7,228,0
2019,Manhattan,8,366,2
2019,Manhattan,9,406,2
2019,Manhattan,10,406,0
2019,Manhattan,11,406,4
2019,Manhattan,12,473,2
2019,Manhattan,13,496,2
2019,Manhattan,14,544,0
2019,Manhattan,15,626,2
2019,Manhattan,16,516,2
2019,Manhattan,17,658,0
2019,Manhattan,18,560,2
2019,Manhattan,19,510,0
2019,Manhattan,20,522,0
2019,Manhattan,21,430,6
2019,Manhattan,22,394,0
2019,Manhattan,23,372,2
2019,Queens,0,650,0
2019,Queens,1,330,4
2019,Queens,2,230,6
2019,Queens,3,202,0
2019,Queens,4,254,4
2019,Queens,5,344,6
2019,Queens,6,470,0
2019,Queens,7,698,6
2019,Queens,8,1120,4
2019,Queens,9,804,0
2019,Queens,10,800,2
2019,Queens,11,814,6
2019,Queens,12,994,4
2019,Queens,13,962,4
2019,Queens,14,1266,2
2019,Queens,15,1278,4
2019,Queens,16,1420,2
2019,Queens,17,1380,0
2019,Queens,18,1302,6
2019,Queens,19,1204,2
2019,Queens,20,1052,0
2019,Queens,21,898,4
2019,Queens,22,872,2
2019,Queens,23,568,2
2019,Staten Island,0,72,0
2019,Staten Island,1,28,0
2019,Staten Island,2,26,0
2019,Staten Island,3,20,0
2019,Staten Island,4,16,0
2019,Staten Island,5,30,0
2019,Staten Island,6,48,0
2019,Staten Island,7,82,0
2019,Staten Island,8,150,0
2019,Staten Island,9,126,0
2019,Staten Island,10,100,0
2019,Staten Island,11,110,0
2019,Staten Island,12,96,2
2019,Staten Island,13,146,4
2019,Staten Island,14,230,0
2019,Staten Island,15,220,0
2019,Staten Island,16,208,2
2019,Staten Island,17,156,0
2019,Staten Island,18,190,0
2019,Staten Island,19,138,0
2019,Staten Island,20,94,0
2019,Staten Island,21,122,0
2019,Staten Island,22,64,0
2019,Staten Island,23,70,0
2019,Unspecified,0,1914,10
2019,Unspecified,1,952,14
2019,Unspecified,2,800,10
2019,Unspecified,3,684,18
2019,Unspecified,4,770,10
2019,Unspecified,5,864,6
2019,Unspecified,6,1120,2
2019,Unspecified,7,1512,6
2019,Unspecified,8,2108,6
2019,Unspecified,9,1940,6
2019,Unspecified,10,1612,4
2019,Unspecified,11,1692,2
2019,Unspecified,12,1996,8
2019,Unspecified,13,2052,8
2019,Unspecified,14,2616,6
2019,Unspecified,15,2858,6
2019,Unspecified,16,2846,8
2019,Unspecified,17,2992,6
2019,Unspecified,18,2404,12
2019,Unspecified,19,2126,2
2019,Unspecified,20,2120,6
2019,Unspecified,21,1882,4
2019,Unspecified,22,1956,8
2019,Unspecified,23,1732,20
