,Russia (1),Russia (2),Russia (3),United States (1),United States (2),United States (3),China (1),China (2),China (3),UK (1),UK (2),UK (3),France (1),France (2),France (3)
Kilotons,58000,4130,2900,15000,8300,4800,4000,3300,1000,3000,140,103,2600,955,118
MG/H,67408760,4799968.6,3370438,17433300,9646426,5578656,4648880,3835326,1162220,3486660,162710.8,119708.66,3021772,1109920.1,137141.96
1 NYC day,4772,340,239,1234,683,395,329,271,82,247,12,8,214,79,10
Radius,238.58,16.99,11.93,61.70,34.14,19.74,16.45,13.57,4.11,12.34,0.58,0.42,10.70,3.93,0.49
Decade,1960,1970,1950,1950,1960,1970,1970,1960,1980,1950,1980,1990,1960,1970,1990
